Trace,
ADEMOD:FM,
A.14.13,N9010A
503 P03 ,1
AF Res Bandwidth,180.00 Hz
AF Start Freq,0 Hz
AF Stop Freq,20.000000 kHz
Attenuation,10 dB
Average Count,10
Average State,Off
BPF,Off
Center Frequency,433900000
Channel BW,1.5 MHz
Demod Time,360 ms
External Gain,0.00 dB
HPF,Off
Input Z Correction,50 â„?
LPF,30 kHz
PreAmp Band,Low
PreAmp State,Off
Ref Level,220.8 kHz
RF Calibrator,Off
RF Coupling,AC
RF Res Bandwidth,1.6 MHz
RF Span,3.000 MHz
Sweep Time,10.0 ms
Trigger Delay,4.000 ms
Trigger Level,-2.00E+01
Trigger Slope,Positive
Trigger Source,RF Burst
X Axis Unit,S
Y Axis Unit,Hz
Demod,
65172.84915,0
333267.185,1
369820.0794,1
354454.2626,1
339842.4967,1
329610.0824,1
320277.7072,1
312619.7362,1
309806.003,1
307576.1403,1
306084.6789,1
306889.1822,1
301308.9441,1
140136.4186,0
148725.417,0
235467.6301,0
230963.9646,0
217347.1797,0
272930.5913,1
331848.6275,1
304643.3941,1
294316.0988,1
301054.7573,1
303751.7671,1
299747.1998,1
299721.771,1
301327.8165,1
303279.3437,1
304254.2107,1
300122.5089,1
298060.5758,1
301467.1325,1
301166.4572,1
302561.7837,1
299551.9243,1
302869.5522,1
303783.4898,1
301268.411,1
303682.675,1
301243.9721,1
301545.5144,1
302960.9357,1
303618.4308,1
304321.9596,1
302812.1018,1
302001.2858,1
303568.3772,1
302578.1804,1
302280.779,1
304178.0266,1
302697.2916,1
303605.3167,1
303161.4488,1
300651.2026,1
304574.0882,1
302228.5231,1
300714.7718,1
306243.0924,1
304824.9257,1
300720.5318,1
300927.0447,1
303618.2276,1
302202.623,1
303037.161,1
305381.1417,1
301607.118,1
302262.244,1
301481.9922,1
302898.7459,1
302566.2417,1
267297.0492,1
162931.5137,0
211586.7833,0
230359.3465,0
219489.5193,0
255128.8401,1
329366.1076,1
311479.8041,1
298047.9913,1
296531.3128,1
301172.6478,1
300197.6202,1
301366.713,1
302610.7283,1
300644.6118,1
301654.1318,1
298360.3909,1
301037.3793,1
299797.6052,1
301439.019,1
301630.8235,1
303343.599,1
302007.8656,1
303038.1899,1
301903.4303,1
302415.1952,1
302892.9984,1
300699.7699,1
303433.4087,1
302448.1861,1
303701.0918,1
303299.9169,1
302172.5116,1
300000.7512,1
305004.5048,1
302590.241,1
301839.9294,1
303062.6287,1
302865.3516,1
300723.6394,1
305183.1787,1
304575.7599,1
301322.8111,1
302074.7442,1
301917.2372,1
303056.8947,1
303483.0266,1
302009.2079,1
302416.0763,1
304339.6174,1
302063.9626,1
301971.0304,1
302985.028,1
304812.079,1
303713.7435,1
299285.3593,1
302847.2673,1
291498.3211,1
171741.4432,0
197017.2013,0
232124.2244,0
221225.5948,0
226624.9884,0
313723.2853,1
322067.5531,1
297026.8997,1
296215.7439,1
293677.4705,1
140508.9774,0
143679.2491,0
226246.306,0
228554.241,0
214763.0368,0
269240.3979,1
327247.8965,1
306638.0641,1
295235.0563,1
300966.4075,1
207923.0262,0
118269.5333,0
198943.6434,0
232594.247,0
218699.8962,0
241466.2834,0
317726.06,1
312389.3441,1
297376.294,1
299551.4692,1
278008.5252,1
130456.8157,0
162573.3895,0
226180.2343,0
222028.0671,0
219081.8547,0
292641.4342,1
322190.7772,1
301490.0239,1
295498.4142,1
300133.8166,1
186715.7023,0
126189.5691,0
208483.8162,0
229050.3169,0
217127.9534,0
254958.3946,1
324148.4807,1
308379.3484,1
294190.047,1
301103.614,1
301428.855,1
300550.8295,1
301971.9908,1
301532.8028,1
300656.6866,1
279900.5082,1
54009.74624,0
131350.6828,0
237090.4368,0
231357.2569,0
216089.0086,0
297222.2917,1
328069.0181,1
296506.2399,1
292216.8471,1
303741.3924,1
186530.9726,0
121335.1126,0
210781.5755,0
233200.3259,0
216018.4237,0
251874.6201,1
325677.7059,1
308183.6903,1
293305.8443,1
300145.5885,1
258335.7743,1
123685.841,0
173936.7256,0
229980.0479,0
222817.756,0
221132.815,0
304441.6713,1
318320.0926,1
297949.7858,1
299670.1569,1
298452.224,1
164111.7944,0
137899.4898,0
214688.9241,0
229022.98,0
214162.762,0
267710.1849,1
324903.5535,1
303757.7752,1
296056.5053,1
299364.4808,1
231773.0522,0
123039.1041,0
187360.1795,0
228635.4471,0
218690.556,0
234748.1398,0
314773.8696,1
313556.7259,1
299021.5005,1
296995.8914,1
301149.0888,1
302892.4111,1
300511.9024,1
301063.0843,1
304617.3484,1
295491.8159,1
73807.95246,0
107121.8188,0
229120.6892,0
235181.7311,0
213435.9554,0
271615.3447,1
328809.0331,1
304318.7362,1
294318.5909,1
299148.5189,1
233143.7709,0
116809.1481,0
185699.879,0
230773.1319,0
220099.3123,0
231630.6183,0
317745.3876,1
318567.5109,1
295570.8096,1
297488.7022,1
288912.7971,1
143363.5409,0
148961.6111,0
224257.3527,0
226076.023,0
211625.9243,0
283937.7352,1
323466.1686,1
302530.7107,1
298648.9812,1
299062.4222,1
202374.4484,0
124960.2725,0
198781.2675,0
228445.3446,0
216022.9363,0
247183.3803,0
320213.0925,1
312565.5938,1
293275.63,1
296302.0443,1
278177.9174,1
130034.2463,0
162531.5322,0
230008.1779,0
220416.6658,0
217172.1381,0
298617.6855,1
321506.1453,1
299571.1759,1
298646.8874,1
299325.3285,1
301171.0479,1
302634.9408,1
300816.9306,1
300031.1953,1
303600.4545,1
137453.1917,0
62485.60481,0
208258.4305,0
243588.7067,0
217641.4532,0
209707.9791,0
212617.4124,0
214043.3475,0
212988.9898,0
214108.1163,0
229623.0392,0
307563.7457,1
315446.1889,1
297727.1135,1
296975.9697,1
291863.4983,1
152767.9567,0
146356.0153,0
219224.7715,0
223636.4768,0
215497.6322,0
278227.9305,1
321304.4883,1
303341.9292,1
298447.5343,1
300320.4952,1
300789.4059,1
300685.8519,1
302195.0881,1
303083.736,1
299842.2162,1
224615.2613,0
45835.33772,0
164574.1718,0
241961.745,0
226021.2664,0
225309.5718,0
309109.8844,1
320789.2443,1
296928.3291,1
298258.0414,1
286900.5046,1
142873.6372,0
149753.9513,0
222545.5187,0
227231.1966,0
214212.2475,0
271953.487,1
326608.5101,1
302423.6255,1
294313.9261,1
299160.4316,1
303317.4892,1
300173.5369,1
302687.2712,1
300606.6524,1
300813.4296,1
200731.5079,0
47014.34636,0
179162.4503,0
241843.203,0
222644.3669,0
213273.0598,0
214241.0169,0
211355.5835,0
211934.6511,0
211512.181,0
219085.1656,0
293987.5276,1
319341.2478,1
300597.3332,1
295697.5064,1
300890.07,1
183433.5491,0
135213.7813,0
206697.5209,0
226080.4868,0
215077.6745,0
256219.7219,1
321304.7127,1
307133.115,1
296295.152,1
301171.9165,1
252110.0151,1
122491.7968,0
178399.0777,0
228253.6165,0
219433.2742,0
227663.7836,0
