Trace,
ADEMOD:FM,
A.14.13,N9010A
503 P03 ,1
AF Res Bandwidth,180.00 Hz
AF Start Freq,0 Hz
AF Stop Freq,20.000000 kHz
Attenuation,10 dB
Average Count,10
Average State,Off
BPF,Off
Center Frequency,433900000
Channel BW,1.5 MHz
Demod Time,3.60 s
External Gain,0.00 dB
HPF,Off
Input Z Correction,50 â„?
LPF,80 kHz
PreAmp Band,Low
PreAmp State,Off
Ref Level,0.000 Hz
RF Calibrator,Off
RF Coupling,AC
RF Res Bandwidth,1.6 MHz
RF Span,3.000 MHz
Sweep Time,100 ms
Trigger Delay,1.0 Âµs
Trigger Level,-2.51E+01
Trigger Slope,Positive
Trigger Source,RF Burst
X Axis Unit,S
Y Axis Unit,Hz
Demod,
-15031.84101,
-15346.69431,
-15020.76408,
-14682.60579,
-15306.31987,
-15648.19659,
-15128.95091,
-15206.33715,
-17522.02108,
-23494.05327,
19083.93932,
60394.44891,
60319.54167,
60601.87312,
61523.23595,
61177.74777,
61758.91234,
62545.98346,
61443.76601,
61058.6153,
66143.03713,
67383.18879,
14635.42389,
-14338.29844,
-15220.98166,
-14782.40793,
-15058.0106,
-15157.81536,
-16139.03096,
-15822.92442,
-15633.07556,
-15362.77919,
-20903.38454,
-18268.26102,
41990.79799,
60813.21961,
61495.57311,
60945.26228,
61178.10266,
61220.26448,
61865.37644,
61904.07338,
62189.64405,
60160.9001,
68263.08267,
57387.4483,
-6166.832843,
-15249.52287,
-14859.84947,
-15402.05609,
-15337.33956,
-14866.25072,
-14193.65525,
-15565.57097,
-14881.61582,
-16627.21489,
-24925.24884,
-3622.081308,
58036.60239,
61249.51821,
61313.99191,
61339.18833,
61993.51916,
61095.16451,
61774.20306,
62335.60912,
62173.07242,
62722.6122,
69721.81696,
38383.89908,
-14496.9622,
-14972.14138,
-15691.6112,
-15494.80743,
-14896.57588,
-15274.42642,
-15359.53198,
-15874.66377,
-15010.04555,
-18619.35322,
-23837.55511,
20536.35822,
61513.89343,
60406.50986,
60897.67975,
59928.16688,
61556.88329,
61672.55127,
61612.47577,
61434.8964,
60556.67033,
66766.24656,
67962.20311,
13309.25204,
-14536.6636,
-15511.69307,
-15790.15392,
-15322.14896,
-15545.13454,
-15479.46126,
-15714.02766,
-15357.15078,
-14257.45417,
-21381.81064,
-18277.99409,
43580.78021,
61195.39186,
61812.85041,
60138.14931,
61264.34279,
61402.16689,
62290.22653,
61773.91899,
61517.86255,
61339.33536,
68690.64609,
56832.20435,
-7215.786357,
-14227.75992,
-15205.77558,
-14215.9995,
-14241.41217,
-16118.22339,
-15247.02917,
-17419.20063,
-16302.0704,
-15143.11063,
-24373.62864,
-2399.487835,
58424.64201,
61495.67983,
61473.8469,
60700.74629,
61698.9312,
61216.40539,
62183.87648,
61677.30477,
61888.86782,
62632.53778,
70130.76496,
36823.07115,
-14803.53411,
-15884.54045,
-15096.98989,
-15006.48703,
-15579.64214,
-15140.44352,
-16438.69659,
-15924.97857,
-15295.29628,
-17665.30439,
-24575.59472,
21587.18334,
61012.50571,
59764.77524,
60985.59604,
60562.42664,
61318.09256,
61044.14337,
61148.92334,
61843.59688,
60761.89935,
65864.72043,
66810.75815,
12459.44681,
-15359.41526,
-14842.62927,
-15096.43132,
-14732.03326,
-15115.64352,
-15838.98143,
-15816.0564,
-15026.49032,
-14867.07985,
-21776.17757,
-16290.8059,
45140.81605,
61841.34373,
60487.55383,
61401.00178,
61368.50968,
61689.96073,
61970.13394,
61378.12569,
61444.47449,
61240.8863,
69078.61245,
55875.89523,
-6966.13021,
-15909.14664,
-15373.37885,
-15803.87087,
-15706.45203,
-15527.79077,
-15859.21606,
-14716.80438,
-16099.49127,
-16284.97133,
-23809.22957,
-1381.544135,
58070.67135,
60767.0805,
61134.864,
61140.31789,
62125.00864,
61183.72564,
61933.27142,
62389.97161,
61606.22069,
62579.48127,
69564.52604,
35357.47711,
-14967.24644,
-15024.42106,
-15557.94494,
-15112.61381,
-14389.6738,
-16433.63661,
-15501.12164,
-15841.08282,
-15289.89227,
-18651.75738,
-23713.84318,
23148.4416,
60281.39206,
61180.96705,
60910.06075,
60957.99187,
61689.42318,
61546.46507,
61900.23206,
61743.01337,
61094.57925,
65760.18076,
66634.05579,
9921.911236,
-15244.42698,
-14779.97692,
-16292.78012,
-15192.88708,
-15743.70701,
-15841.16815,
-15401.09249,
-16801.45219,
-15101.26916,
-22622.90616,
-16188.26216,
46378.77152,
61494.32913,
60391.0144,
61021.08873,
60895.99452,
61566.05062,
62131.87998,
60673.20492,
61120.47807,
61156.94543,
69606.71159,
56089.94554,
-8754.448064,
-14042.68935,
-15274.41264,
-15258.15876,
-15613.99661,
-16165.4528,
-15898.32435,
-16017.381,
-14341.99326,
-16160.66593,
-24194.96034,
323.0928966,
58021.65833,
60946.50748,
60715.03106,
60368.32938,
61143.32587,
61439.75214,
61227.84359,
61807.27908,
60918.58861,
63373.69182,
69538.78885,
34887.57098,
-14989.35786,
-14781.73845,
-15782.50084,
-15573.05773,
-14997.91151,
-15504.38961,
-15410.42523,
-16201.75753,
-15415.88925,
-18713.41013,
-24620.53558,
23384.94554,
61689.72062,
61373.52283,
61182.11186,
61815.24494,
61676.44864,
61188.82942,
62601.93764,
61427.73092,
60905.30099,
66146.05704,
66281.92634,
9735.423117,
-15318.16577,
-15259.31483,
-15292.51255,
-15508.94364,
-14989.22276,
-15180.27097,
-16426.08155,
-15931.8609,
-15634.17089,
-21192.04962,
-15456.94179,
46406.05921,
61148.33092,
60723.67472,
60666.26836,
60894.35817,
62276.44601,
61388.97885,
61866.82056,
60758.03394,
61155.74712,
68908.32506,
53194.37044,
-9364.504264,
-14855.8968,
-15846.26046,
-15426.06505,
-14615.8253,
-15506.84454,
-16219.68763,
-16097.34472,
-14564.22645,
-15658.71448,
-24972.30006,
970.8463195,
59537.60636,
60220.74146,
61988.96449,
61287.83844,
61308.48786,
60717.75514,
61974.8188,
61475.36704,
61010.66959,
64213.36652,
70739.8703,
32241.45163,
-14896.68486,
-15606.01042,
-15276.86143,
-15556.19972,
-14687.7003,
-15282.49786,
-16544.29397,
-15637.99233,
-14830.8102,
-19943.81967,
-23217.13937,
25089.36966,
61133.38459,
60263.17951,
61960.46957,
61907.25816,
60180.87912,
61349.26647,
61446.36512,
61627.66034,
60773.26806,
66096.65834,
65314.68377,
8497.036933,
-14370.24961,
-14701.03697,
-14959.623,
-14993.63887,
-15376.84306,
-14487.11047,
-16243.86681,
-15508.24735,
-13913.98022,
-22057.70708,
-14659.95517,
47659.79332,
61482.8708,
60698.53773,
60720.38528,
60641.69228,
61849.31975,
61679.66771,
62597.38107,
60987.23261,
61684.91512,
69590.4598,
52397.32006,
-10149.57393,
-15717.97142,
-14726.71424,
-15095.70185,
-56820.48665,
-359826.7737,
-205217.8431,
100658.6888,
-165384.9232,
