Trace,
ADEMOD:FM,
A.14.13,N9010A
503 P03 ,1
AF Res Bandwidth,180.00 Hz
AF Start Freq,0 Hz
AF Stop Freq,20.000000 kHz
Attenuation,10 dB
Average Count,10
Average State,Off
BPF,Off
Center Frequency,433900000
Channel BW,1.5 MHz
Demod Time,360 ms
External Gain,0.00 dB
HPF,Off
Input Z Correction,50 â„?
LPF,80 kHz
PreAmp Band,Low
PreAmp State,Off
Ref Level,0.000 Hz
RF Calibrator,Off
RF Coupling,AC
RF Res Bandwidth,1.6 MHz
RF Span,3.000 MHz
Sweep Time,10.0 ms
Trigger Delay,4.000 ms
Trigger Level,-2.00E+01
262854.4313,
262963.7029,
261806.0042,
261190.4987,
178369.6635,
183122.2001,
183994.2178,
183929.6124,
182052.8312,
268770.9375,
263449.9103,
263407.2473,
262052.7132,
262651.4476,
262268.2363,
261185.3962,
263469.725,
262423.3752,
262489.7822,
262506.8823,
262113.9952,
262137.0937,
261681.2226,
263264.2936,
245704.6974,
181520.9928,
183315.4266,
183268.5216,
182113.4239,
184822.3348,
268255.4785,
262282.3165,
263394.6759,
262052.5059,
263298.8894,
262368.0026,
262942.0437,
262841.3377,
261449.927,
262890.7659,
262883.7791,
261945.4845,
262425.3349,
263628.2941,
262233.0288,
262549.5166,
262399.9636,
262488.572,
261910.5614,
263103.1992,
249779.1061,
179416.0868,
182127.4043,
183102.7513,
182364.0823,
183624.7931,
270181.0604,
262230.0611,
261926.2903,
263149.4024,
262347.7034,
261959.9243,
263335.1837,
263207.4755,
262274.2765,
262065.2988,
193777.7518,
184228.0521,
183092.5531,
182951.387,
181429.3318,
224220.3506,
262290.5725,
262832.4261,
262278.1624,
263023.4046,
262589.6077,
262829.8433,
262875.6215,
262605.3573,
261944.7705,
262538.4948,
177562.0446,
183469.6337,
183705.6069,
182286.9823,
183142.0877,
266140.3066,
260907.7804,
261417.5961,
263219.4555,
263144.6599,
261618.9464,
263168.9881,
261989.5767,
263504.9692,
262112.3504,
263542.7937,
264377.1528,
262542.34,
262660.8461,
261948.085,
262682.6917,
263998.6016,
263239.4827,
261846.0682,
262797.2731,
262876.7124,
176535.5898,
183649.4459,
183552.2429,
183417.7278,
183224.9722,
265241.8704,
261644.4268,
262918.3911,
262796.863,
263182.305,
261703.1942,
262364.1504,
262475.6638,
262438.1055,
262386.218,
229690.0032,
181843.3635,
181657.0179,
184790.9724,
182074.6196,
189588.0355,
265306.3502,
262565.8113,
261837.1646,
261904.7051,
262103.6466,
262263.6254,
263092.2921,
262258.2401,
261840.518,
262494.1058,
182653.6513,
184437.2359,
182653.1948,
183967.54,
183249.3025,
243048.2885,
261780.2816,
261134.0543,
263088.2314,
262430.718,
262438.9925,
263249.7773,
261937.4973,
263192.5048,
263019.9222,
263213.611,
260632.0754,
262768.3232,
262652.3127,
263001.7596,
263329.985,
262775.2881,
262447.4163,
264074.0554,
261446.0665,
263219.2343,
184347.3328,
184139.0852,
182642.4062,
183056.9396,
182729.0267,
241919.8058,
262110.1723,
261680.4407,
261902.7689,
262802.2085,
263422.7445,
261442.1526,
262767.1649,
262760.4949,
261979.362,
259791.0614,
179369.2768,
183158.9689,
183344.2845,
183078.2267,
183879.0129,
268812.8497,
262210.275,
263162.6094,
262220.4823,
261650.0574,
261834.1997,
262595.6515,
262129.253,
263501.067,
262709.9784,
208234.8051,
183960.9895,
183714.2584,
182835.0953,
183102.8608,
183032.3739,
184408.711,
182607.5796,
183571.0914,
183213.1752,
184644.3329,
268300.5098,
261708.1991,
261873.644,
263369.8688,
262519.9338,
177499.0884,
184896.6225,
183138.4578,
183087.4559,
184097.6772,
183646.0065,
183019.1681,
182782.6919,
183431.6854,
183214.95,
183506.2488,
183513.0265,
184026.2504,
183115.5554,
183473.1294,
182664.3409,
183838.1306,
182514.3269,
183383.861,
183106.3017,
183308.5235,
182466.95,
183694.7737,
182101.6375,
184080.0286,
183870.3708,
181840.7269,
183558.8042,
183205.901,
183852.9135,
182317.4878,
257139.6018,
261783.3268,
262608.4614,
261681.053,
262667.1833,
262064.1766,
262088.3938,
263270.5576,
263802.8652,
262695.637,
247789.6912,
181134.4535,
183672.7403,
183558.8571,
183084.6517,
183089.1494,
267888.8964,
261720.9778,
262922.1174,
262189.7252,
263362.1226,
261717.828,
262421.4118,
262604.0371,
263226.0096,
262733.8324,
192078.2084,
184290.2672,
183516.5674,
183056.1015,
183241.5023,
183707.6266,
184002.8778,
182585.5609,
184169.5492,
183068.2869,
194551.0014,
265299.0202,
262272.4664,
262927.6323,
263287.5691,
262284.0476,
178217.3067,
182854.8423,
182850.2827,
183769.8822,
183691.1521,
183381.3873,
182558.116,
182963.5223,
182883.8346,
181768.8212,
183651.3399,
182579.7381,
182702.869,
183361.568,
183680.8272,
221270.2821,
262182.069,
262561.6311,
263124.3951,
263147.9797,
262568.3166,
261982.7982,
262663.1506,
263032.5978,
262400.0235,
263157.4252,
177071.7289,
183307.1708,
181948.9988,
182974.1316,
183091.6532,
183720.8369,
182762.8526,
183974.7515,
182266.0414,
184534.1576,
247405.0606,
261888.7666,
260965.5494,
262009.5606,
263320.8635,
262968.4251,
262574.8065,
262120.9938,
263086.001,
261658.3275,
256903.6724,
178829.3927,
182578.3729,
182891.252,
183185.477,
183135.3067,
183231.9512,
182899.0035,
183404.2716,
182312.6481,
183606.5823,
182447.2536,
183687.5348,
182913.0294,
183167.5929,
184012.2894,
245644.3852,
261213.4019,
262292.0456,
262579.3848,
262825.6323,
232635.5432,
182229.9046,
182673.5421,
181981.7633,
182800.5163,
187470.6196,
266845.01,
262281.3708,
262425.233,
262509.972,
264140.3829,
262880.8181,
261636.6471,
262214.6861,
262691.5679,
262917.7155,
183699.0449,
184303.3312,
183389.2118,
183836.8845,
183517.598,
183198.965,
183699.5317,
183004.1477,
184039.8678,
183011.0761,
210469.5979,
264367.5053,
262953.283,
262596.5313,
262982.4417,
259456.8668,
179205.3316,
183239.2588,
183176.9137,
182807.4553,
183835.6988,
182677.4214,
183503.1406,
182647.3357,
183960.3769,
182720.7336,
182543.5335,
184532.3265,
182263.1369,
182116.4568,
183020.7276,
182402.1185,
183000.8643,
184391.7182,
182945.5425,
183516.3466,
183776.0313,
183145.3096,
184581.2447,
183561.1488,
182681.012,
185535.2166,
267478.828,
261406.2524,
261965.952,
263303.0358,
261911.6439,
262165.9891,
262741.0339,
262119.3858,
262943.0487,
263115.4734,
261946.9779,
263366.3723,
262012.8208,
263397.4508,
262022.6576,
210658.2297,
183951.9567,
183252.9436,
183034.0041,
182398.4806,
182971.1747,
184530.9128,
182090.2486,
182711.7905,
182566.5947,
183529.6955,
268354.8273,
262804.301,
262014.1545,
263021.1681,
263574.3652,
261962.2001,
263121.469,
263203.9286,
262176.5415,
262265.4838,
263814.6356,
263155.5068,
263016.4896,
262569.5601,
262494.0089,
262472.7557,
263011.0002,
262602.4289,
261629.7553,
262467.3501,
261833.1274,
262083.3417,
262723.3801,
263085.2632,
262141.4915,
262693.0336,
176830.5987,
183846.9037,
183809.9001,
184430.7145,
183205.2208,
182962.6562,
182803.9401,
183282.2224,
184354.6464,
182952.6492,
254956.2978,
261696.8188,
263744.0435,
262375.0178,
263363.6266,
261360.7503,
262762.3509,
262639.894,
263498.52,
262773.0164,
248901.9924,
179183.1705,
183756.9254,
182931.7656,
181917.6834,
184314.1931,
183144.3047,
183389.5351,
183398.5767,
184480.1179,
183121.776,
266540.0641,
261675.697,
261024.7623,
263313.8509,
262976.8901,
262831.7655,
262731.2984,
262699.4925,
263599.0817,
261841.2969,
223773.5599,
182836.7016,
181923.1211,
183574.0436,
183648.4656,
193550.1949,
265742.6147,
263123.9958,
262174.3936,
261512.0428,
261849.2695,
263175.0773,
264333.1307,
262944.0429,
264195.4206,
262546.4775,
179971.0491,
184423.7212,
184342.8863,
183020.8328,
183348.8977,
183787.062,
182957.6164,
182983.4068,
183854.3128,
183044.3698,
219976.0646,
263902.0943,
262863.8602,
262544.9235,
262754.7174,
262613.1822,
262409.5625,
262263.9212,
262260.8725,
262823.033,
262487.4042,
177447.5882,
183082.7267,
183381.5087,
182934.5701,
182675.8376,
184033.009,
182932.5132,
183115.988,
183055.8452,
183641.4449,
183514.2439,
183347.3257,
182643.4991,
183456.8865,
182443.5875,
183750.768,
183487.512,
183705.4048,
184230.6926,
182248.7884,
183753.4201,
183308.1454,
182986.5964,
183048.2716,
183862.6806,
183006.6149,
268200.0227,
262081.4624,
262944.9027,
262003.6373,
262959.2651,
262317.8626,
262483.6307,
262824.4713,
262196.0022,
262774.4958,
262081.7068,
261837.4187,
262903.0049,
262271.5146,
263504.7223,
263092.2452,
262490.7433,
262249.1385,
262594.1773,
263168.0409,
262483.2711,
263015.8621,
262029.9494,
260839.4746,
262836.3487,
263982.9691,
262633.9827,
263246.414,
262151.0273,
262819.9521,
263257.7889,
262654.6269,
262389.9691,
263356.436,
261823.105,
262909.4275,
262031.5667,
262578.0262,
262579.3571,
262543.9155,
263170.2342,
263193.454,
261580.9684,
261860.9412,
263529.7498,
262210.5118,
263422.3634,
260620.5358,
261743.9167,
262487.3223,
262285.8934,
261970.9226,
262511.5264,
261869.9108,
262691.8893,
262999.0458,
263167.0338,
262702.874,
264050.1055,
262190.8728,
262183.8091,
262852.0792,
262800.1397,
261940.7647,
262240.0185,
262620.3223,
262459.4677,
261647.3731,
262750.7083,
262192.905,
262857.4032,
262770.127,
263024.428,
262834.7395,
263079.9221,
262700.2767,
262605.7742,
261379.9362,
262154.7311,
263538.701,
262858.285,
261728.9367,
263370.0891,
263204.5512,
262809.4649,
