Trace,
ADEMOD:FM,
A.14.13,N9010A
503 P03 ,1
AF Res Bandwidth,180.00 Hz
AF Start Freq,0 Hz
AF Stop Freq,20.000000 kHz
Attenuation,10 dB
Average Count,10
Average State,Off
BPF,Off
Center Frequency,433900000
Channel BW,1.5 MHz
Demod Time,1.80 s
External Gain,0.00 dB
HPF,Off
Input Z Correction,50 â„?
LPF,80 kHz
PreAmp Band,Low
PreAmp State,Off
Ref Level,0.000 Hz
RF Calibrator,Off
RF Coupling,AC
RF Res Bandwidth,1.6 MHz
RF Span,3.000 MHz
Sweep Time,50.0 ms
Trigger Delay,4.000 ms
Trigger Level,-2.00E+01
183845.1358,
182947.3441,
263301.4504,
262059.2533,
183361.5483,
262555.3406,
261548.906,
183335.3709,
182228.8387,
263483.1862,
263296.4251,
182578.7697,
183123.084,
183040.6923,
183663.2965,
182727.1716,
267959.7374,
261874.644,
262445.4715,
262245.2376,
262368.3839,
262240.9126,
263381.8097,
262901.0716,
262125.5848,
263095.7889,
263289.51,
262786.4159,
263690.5001,
262138.2725,
262843.3105,
263140.4716,
263187.4207,
261977.5087,
183579.63,
263428.6638,
183003.6348,
261478.5275,
184094.5123,
261277.7842,
178849.9587,
269634.6692,
180770.7118,
244430.214,
262498.2154,
258984.5083,
182697.5392,
262203.5364,
182712.5672,
263258.1792,
182921.9972,
262397.3438,
183487.8416,
263177.253,
183787.238,
264071.6289,
261962.2326,
182618.3416,
262161.4562,
183493.9049,
262707.7972,
183373.2253,
262887.7448,
184126.2863,
262281.7547,
181274.2187,
268482.155,
261392.8497,
191999.0698,
183462.243,
197206.4222,
261949.9071,
184368.3728,
263499.593,
262828.6559,
182779.1872,
262853.7111,
182665.147,
263647.7623,
263221.6292,
184198.4374,
183587.9772,
262792.1911,
182544.5848,
262944.2434,
184667.1079,
262312.8205,
184916.6429,
261535.5523,
261649.6474,
263265.8881,
177565.091,
269151.3123,
262833.2981,
262577.6514,
262422.1471,
260726.5926,
183003.7019,
264009.9183,
262622.9393,
182770.345,
262088.9401,
261741.2559,
183603.0717,
262525.254,
262243.6914,
262817.6111,
263559.3453,
183922.6486,
262552.8982,
262259.2889,
182966.3161,
262123.9133,
262226.222,
184586.0111,
263118.4921,
263174.9524,
262293.4693,
262265.336,
195425.9013,
220900.8574,
262996.5122,
262740.8037,
183019.1442,
262018.542,
262619.6958,
182791.5118,
183837.9973,
262125.1863,
183019.376,
183131.5256,
183109.6209,
183156.6431,
183623.686,
182442.3894,
263065.9046,
263128.6348,
184054.7769,
262282.3943,
263889.5586,
184019.546,
183499.9785,
269007.0856,
177121.133,
183011.9407,
184563.1287,
202272.4207,
263380.2718,
262336.5464,
183373.758,
183900.3906,
263383.9135,
263324.8017,
184009.1321,
182545.9115,
183846.5559,
262365.3046,
182772.2355,
262453.2686,
262729.4998,
183514.4372,
184260.0483,
263420.5074,
183999.8206,
183328.8027,
183895.8076,
183010.7821,
183162.2087,
270287.6715,
262115.7676,
262976.4235,
230464.5454,
183100.3059,
183002.9255,
261676.9439,
262576.823,
262658.4878,
262465.3339,
262647.5824,
183610.8556,
182959.6423,
262614.4453,
263221.4203,
184401.8115,
183831.181,
262861.5804,
262847.0939,
183101.802,
262265.0453,
262445.747,
184529.4971,
183786.3995,
264298.249,
262291.0927,
179691.3994,
182153.2583,
182224.7418,
183236.1991,
183151.9142,
182581.3227,
263365.1176,
263158.1641,
261994.6454,
262360.1654,
261624.0366,
262454.6315,
262385.9681,
262788.2165,
261715.1354,
263560.1901,
263173.0324,
263437.7677,
263108.0987,
263082.4844,
262729.3505,
262843.3064,
263056.5864,
181888.3732,
267601.4601,
176334.15,
262759.0424,
206268.5057,
208920.2159,
259747.4407,
183732.2786,
262371.5409,
182112.5976,
263748.4181,
262129.8936,
182689.5227,
262050.4906,
182081.588,
262346.0676,
183017.0514,
261953.0751,
183000.7326,
263175.2697,
183366.7293,
263514.4963,
263181.9153,
183809.6778,
261218.8278,
182990.4679,
265355.7329,
177989.6742,
266003.1021,
195202.8573,
222036.4913,
252677.1263,
183087.5296,
263005.5407,
261907.4369,
183473.0309,
182560.9201,
262223.1055,
182648.1679,
263040.7189,
261971.5029,
183882.0896,
262050.7713,
183256.983,
263161.5274,
262752.8957,
183357.1753,
182941.8076,
263072.8859,
183553.1505,
260910.5972,
181220.0355,
267773.93,
176603.9361,
259793.2314,
262442.0239,
262393.1972,
261972.5701,
183206.5419,
262382.8293,
262629.7004,
262530.2554,
262584.9462,
182603.6453,
262262.2848,
263897.109,
182133.5389,
262503.4271,
262249.447,
182063.5181,
263026.2981,
262519.1689,
263973.4485,
262949.7551,
183484.8036,
260887.1295,
263667.9682,
178468.6266,
268783.7093,
263235.1643,
198339.5006,
216752.1288,
262515.2449,
262791.9829,
263224.8251,
263688.632,
182916.7995,
261744.3493,
261469.6733,
182388.2239,
262203.5059,
262481.9842,
182748.0528,
182758.5847,
262013.7055,
182954.0719,
183257.9544,
183653.5643,
183773.1157,
183279.8408,
182669.8542,
262207.662,
262144.2571,
177214.7724,
267514.0467,
262158.2293,
215760.4894,
183444.264,
183411.1302,
262189.426,
183241.2734,
183723.3047,
183971.1763,
262096.0508,
263351.2223,
183088.7504,
182607.8652,
262758.7083,
262298.9666,
183819.3703,
182712.5602,
182181.3036,
262575.5644,
181693.4584,
262272.9919,
263243.4683,
183697.7236,
183263.7028,
266649.7607,
176472.2656,
183656.3539,
183556.5098,
182688.9299,
184750.8872,
183145.0673,
262015.8141,
262348.0634,
262596.1145,
183720.9533,
183221.3245,
261420.2501,
263119.9051,
263485.4289,
261722.918,
262239.2532,
182550.0289,
184120.1164,
261929.4046,
263231.8799,
184372.174,
183594.993,
262791.5792,
262630.62,
179086.5135,
268125.214,
262251.2806,
